contig	length	type
1_AE1712_C3_N1_7_80m_v_NODE_322_length_19151_cov_12.244364	19151	s
1_AE1712_C3_N1_7_80m_v_NODE_373_length_17170_cov_13.266659	17170	s
1_AE1712_C3_N1_7_80m_v_NODE_376_length_16933_cov_9.648849	16933	s
1_AE1712_C3_N1_7_80m_v_NODE_386_length_16141_cov_6.478337	16141	s
1_AE1712_C3_N1_7_80m_v_NODE_417_length_14739_cov_10.479948	14739	s
1_AE1712_C3_N1_7_80m_v_NODE_434_length_13766_cov_10.395427	13766	s
1_AE1712_C3_N1_7_80m_v_NODE_436_length_13693_cov_7.175602	13693	s
1_AE1712_C3_N1_7_80m_v_NODE_448_length_13223_cov_12.032101	13223	s
1_AE1712_C3_N1_7_80m_v_NODE_449_length_13208_cov_12.525093	13208	s
1_AE1712_C3_N1_7_80m_v_NODE_458_length_13009_cov_7.073925	13009	s
1_AE1712_C3_N1_7_80m_v_NODE_460_length_12949_cov_18.885410	12949	s
1_AE1712_C3_N1_7_80m_v_NODE_466_length_12726_cov_10.831054	12726	s
1_AE1712_C3_N1_7_80m_v_NODE_470_length_12607_cov_9.816600	12607	s
1_AE1712_C3_N1_7_80m_v_NODE_497_length_12000_cov_12.351002	12000	s
1_AE1712_C3_N1_7_80m_v_NODE_501_length_11849_cov_62.229443	11849	s
1_AE1712_C3_N1_7_80m_v_NODE_520_length_11292_cov_12.689701	11292	s
1_AE1712_C3_N1_7_80m_v_NODE_521_length_11286_cov_16.206798	11286	s
1_AE1712_C3_N1_7_80m_v_NODE_542_length_10803_cov_20.726925	10803	s
1_AE1712_C3_N1_7_80m_v_NODE_555_length_10568_cov_5.870842	10568	s
1_AE1712_C3_N1_7_80m_v_NODE_570_length_10223_cov_7.068303	10223	s
3_AE1712_C6_N1_7_80m_v_NODE_32_length_12071_cov_39.989995	12071	s
4_AE1712_C6_N8_17_200m_v_NODE_96_length_36742_cov_28.933806	36742	s
4_AE1712_C6_N8_17_200m_v_NODE_117_length_32325_cov_11.581773	32325	s
4_AE1712_C6_N8_17_200m_v_NODE_120_length_31336_cov_10.262133	31336	s
4_AE1712_C6_N8_17_200m_v_NODE_132_length_28056_cov_13.307981	28056	s
4_AE1712_C6_N8_17_200m_v_NODE_139_length_26897_cov_19.000149	26897	s
4_AE1712_C6_N8_17_200m_v_NODE_179_length_20994_cov_15.455467	20994	s
4_AE1712_C6_N8_17_200m_v_NODE_183_length_20417_cov_8.391200	20417	s
4_AE1712_C6_N8_17_200m_v_NODE_188_length_19756_cov_9.290259	19756	s
4_AE1712_C6_N8_17_200m_v_NODE_192_length_19063_cov_22.668967	19063	s
4_AE1712_C6_N8_17_200m_v_NODE_194_length_18951_cov_13.798029	18951	s
4_AE1712_C6_N8_17_200m_v_NODE_197_length_18628_cov_14.865021	18628	s
4_AE1712_C6_N8_17_200m_v_NODE_199_length_18426_cov_9.394081	18426	s
4_AE1712_C6_N8_17_200m_v_NODE_212_length_17832_cov_12.584962	17832	s
4_AE1712_C6_N8_17_200m_v_NODE_234_length_16681_cov_14.236268	16681	s
4_AE1712_C6_N8_17_200m_v_NODE_243_length_16462_cov_8.475191	16462	s
4_AE1712_C6_N8_17_200m_v_NODE_245_length_16371_cov_13.616791	16371	s
4_AE1712_C6_N8_17_200m_v_NODE_265_length_15363_cov_8.562083	15363	s
4_AE1712_C6_N8_17_200m_v_NODE_305_length_13620_cov_11.604593	13620	s
4_AE1712_C6_N8_17_200m_v_NODE_310_length_13528_cov_7.565980	13528	s
4_AE1712_C6_N8_17_200m_v_NODE_316_length_13277_cov_14.061591	13277	s
4_AE1712_C6_N8_17_200m_v_NODE_322_length_12980_cov_21.655196	12980	s
4_AE1712_C6_N8_17_200m_v_NODE_363_length_11870_cov_19.772916	11870	s
4_AE1712_C6_N8_17_200m_v_NODE_386_length_11367_cov_8.412666	11367	s
4_AE1712_C6_N8_17_200m_v_NODE_433_length_10155_cov_5.475392	10155	s
4_AE1712_C6_N8_17_200m_v_NODE_437_length_10118_cov_8.496763	10118	s
4_AE1712_C6_N8_17_200m_v_NODE_439_length_10061_cov_5.733073	10061	s
5_AE1712_C8_N7_12_80m_v_NODE_72_length_26012_cov_8.388086	26012	s
5_AE1712_C8_N7_12_80m_v_NODE_128_length_15697_cov_9.201921	15697	s
5_AE1712_C8_N7_12_80m_v_NODE_144_length_14237_cov_57.997669	14237	s
5_AE1712_C8_N7_12_80m_v_NODE_173_length_11821_cov_10.432987	11821	s
5_AE1712_C8_N7_12_80m_v_NODE_182_length_11538_cov_8.076520	11538	s
5_AE1712_C8_N7_12_80m_v_NODE_191_length_11143_cov_13.537593	11143	s
5_AE1712_C8_N7_12_80m_v_NODE_195_length_11114_cov_9.589653	11114	s
6_AE1712_C8_N19_24_200m_v_NODE_31_length_132653_cov_54.017952	132653	s
6_AE1712_C8_N19_24_200m_v_NODE_32_length_129571_cov_21.725176	129571	s
6_AE1712_C8_N19_24_200m_v_NODE_75_length_65397_cov_12.289452	65397	s
6_AE1712_C8_N19_24_200m_v_NODE_77_length_64643_cov_88.840133	64643	s
6_AE1712_C8_N19_24_200m_v_NODE_81_length_62971_cov_13.047524	62971	s
6_AE1712_C8_N19_24_200m_v_NODE_82_length_62903_cov_13.508404	62903	s
6_AE1712_C8_N19_24_200m_v_NODE_84_length_61978_cov_11.574417	61978	s
6_AE1712_C8_N19_24_200m_v_NODE_87_length_59353_cov_1449.401022	59353	s
6_AE1712_C8_N19_24_200m_v_NODE_92_length_58215_cov_22.386167	58215	s
6_AE1712_C8_N19_24_200m_v_NODE_136_length_46234_cov_60.861234	46234	s
6_AE1712_C8_N19_24_200m_v_NODE_153_length_42428_cov_8.495171	42428	s
6_AE1712_C8_N19_24_200m_v_NODE_184_length_37147_cov_33.509657	37147	s
6_AE1712_C8_N19_24_200m_v_NODE_187_length_37105_cov_18.730285	37105	s
6_AE1712_C8_N19_24_200m_v_NODE_196_length_36356_cov_15.029990	36356	s
6_AE1712_C8_N19_24_200m_v_NODE_230_length_32184_cov_18.638895	32184	s
6_AE1712_C8_N19_24_200m_v_NODE_241_length_31490_cov_14.619202	31490	s
6_AE1712_C8_N19_24_200m_v_NODE_249_length_31192_cov_10.227639	31192	s
6_AE1712_C8_N19_24_200m_v_NODE_261_length_30496_cov_6.567376	30496	s
6_AE1712_C8_N19_24_200m_v_NODE_269_length_30139_cov_25.517830	30139	s
6_AE1712_C8_N19_24_200m_v_NODE_270_length_29986_cov_24.731786	29986	s
6_AE1712_C8_N19_24_200m_v_NODE_273_length_29887_cov_10.375780	29887	s
6_AE1712_C8_N19_24_200m_v_NODE_282_length_29368_cov_33.045782	29368	s
6_AE1712_C8_N19_24_200m_v_NODE_288_length_29233_cov_10.187543	29233	s
6_AE1712_C8_N19_24_200m_v_NODE_293_length_28878_cov_15.175133	28878	s
6_AE1712_C8_N19_24_200m_v_NODE_296_length_28647_cov_78.713511	28647	s
6_AE1712_C8_N19_24_200m_v_NODE_298_length_28471_cov_46.667430	28471	s
6_AE1712_C8_N19_24_200m_v_NODE_300_length_28177_cov_16.787473	28177	s
6_AE1712_C8_N19_24_200m_v_NODE_317_length_27611_cov_30.092576	27611	s
6_AE1712_C8_N19_24_200m_v_NODE_372_length_24969_cov_12.926241	24969	s
6_AE1712_C8_N19_24_200m_v_NODE_397_length_23940_cov_9.974228	23940	s
6_AE1712_C8_N19_24_200m_v_NODE_411_length_23622_cov_22.580888	23622	s
6_AE1712_C8_N19_24_200m_v_NODE_413_length_23543_cov_25.306401	23543	s
6_AE1712_C8_N19_24_200m_v_NODE_433_length_22806_cov_12.743236	22806	s
6_AE1712_C8_N19_24_200m_v_NODE_450_length_22244_cov_39.289169	22244	s
6_AE1712_C8_N19_24_200m_v_NODE_455_length_22160_cov_60.642123	22160	s
6_AE1712_C8_N19_24_200m_v_NODE_457_length_22089_cov_13.206660	22089	s
6_AE1712_C8_N19_24_200m_v_NODE_458_length_22065_cov_13.235583	22065	s
6_AE1712_C8_N19_24_200m_v_NODE_462_length_22007_cov_10.264934	22007	s
6_AE1712_C8_N19_24_200m_v_NODE_477_length_21351_cov_9.719141	21351	s
6_AE1712_C8_N19_24_200m_v_NODE_485_length_21186_cov_19.822588	21186	s
6_AE1712_C8_N19_24_200m_v_NODE_512_length_20456_cov_8.656705	20456	s
6_AE1712_C8_N19_24_200m_v_NODE_525_length_20256_cov_9.771148	20256	s
6_AE1712_C8_N19_24_200m_v_NODE_527_length_20255_cov_30.082466	20255	s
6_AE1712_C8_N19_24_200m_v_NODE_535_length_20053_cov_10.981628	20053	s
6_AE1712_C8_N19_24_200m_v_NODE_538_length_19942_cov_8.489605	19942	s
6_AE1712_C8_N19_24_200m_v_NODE_548_length_19739_cov_10.012257	19739	s
6_AE1712_C8_N19_24_200m_v_NODE_556_length_19481_cov_42.555762	19481	s
6_AE1712_C8_N19_24_200m_v_NODE_560_length_19402_cov_8.584890	19402	s
6_AE1712_C8_N19_24_200m_v_NODE_570_length_19102_cov_8.513482	19102	s
6_AE1712_C8_N19_24_200m_v_NODE_589_length_18663_cov_10.326052	18663	s
6_AE1712_C8_N19_24_200m_v_NODE_593_length_18589_cov_7.570603	18589	s
6_AE1712_C8_N19_24_200m_v_NODE_598_length_18534_cov_8.402070	18534	s
6_AE1712_C8_N19_24_200m_v_NODE_610_length_18284_cov_14.044159	18284	s
6_AE1712_C8_N19_24_200m_v_NODE_614_length_18209_cov_11.391518	18209	s
6_AE1712_C8_N19_24_200m_v_NODE_618_length_18179_cov_15.644349	18179	s
6_AE1712_C8_N19_24_200m_v_NODE_620_length_18162_cov_19.445618	18162	s
6_AE1712_C8_N19_24_200m_v_NODE_627_length_17995_cov_7.800759	17995	s
6_AE1712_C8_N19_24_200m_v_NODE_629_length_17940_cov_6.579578	17940	s
6_AE1712_C8_N19_24_200m_v_NODE_630_length_17931_cov_11.231097	17931	s
6_AE1712_C8_N19_24_200m_v_NODE_644_length_17592_cov_14.452469	17592	s
6_AE1712_C8_N19_24_200m_v_NODE_651_length_17483_cov_120.684534	17483	s
6_AE1712_C8_N19_24_200m_v_NODE_679_length_17179_cov_6.367033	17179	s
6_AE1712_C8_N19_24_200m_v_NODE_681_length_17157_cov_9.597658	17157	s
6_AE1712_C8_N19_24_200m_v_NODE_682_length_17133_cov_84.650387	17133	s
6_AE1712_C8_N19_24_200m_v_NODE_685_length_17117_cov_13.010387	17117	s
6_AE1712_C8_N19_24_200m_v_NODE_689_length_17035_cov_10.698313	17035	s
6_AE1712_C8_N19_24_200m_v_NODE_690_length_17030_cov_17.966024	17030	s
6_AE1712_C8_N19_24_200m_v_NODE_716_length_16446_cov_7.374672	16446	s
6_AE1712_C8_N19_24_200m_v_NODE_723_length_16386_cov_38.590778	16386	s
6_AE1712_C8_N19_24_200m_v_NODE_734_length_16166_cov_9.733420	16166	s
6_AE1712_C8_N19_24_200m_v_NODE_737_length_16153_cov_11.203595	16153	s
6_AE1712_C8_N19_24_200m_v_NODE_751_length_16012_cov_5.380797	16012	s
6_AE1712_C8_N19_24_200m_v_NODE_752_length_16004_cov_12.692974	16004	s
6_AE1712_C8_N19_24_200m_v_NODE_755_length_15904_cov_26.986732	15904	s
6_AE1712_C8_N19_24_200m_v_NODE_765_length_15847_cov_13.764236	15847	s
6_AE1712_C8_N19_24_200m_v_NODE_772_length_15695_cov_7.997439	15695	s
6_AE1712_C8_N19_24_200m_v_NODE_774_length_15677_cov_10.342179	15677	s
6_AE1712_C8_N19_24_200m_v_NODE_775_length_15661_cov_10.310575	15661	s
6_AE1712_C8_N19_24_200m_v_NODE_777_length_15633_cov_8.144639	15633	s
6_AE1712_C8_N19_24_200m_v_NODE_789_length_15445_cov_9.025312	15445	s
6_AE1712_C8_N19_24_200m_v_NODE_796_length_15399_cov_60.425075	15399	s
6_AE1712_C8_N19_24_200m_v_NODE_799_length_15375_cov_9.430906	15375	s
6_AE1712_C8_N19_24_200m_v_NODE_800_length_15368_cov_9.654633	15368	s
6_AE1712_C8_N19_24_200m_v_NODE_801_length_15340_cov_11.700059	15340	s
6_AE1712_C8_N19_24_200m_v_NODE_807_length_15315_cov_28.372490	15315	s
6_AE1712_C8_N19_24_200m_v_NODE_812_length_15250_cov_25.100903	15250	s
6_AE1712_C8_N19_24_200m_v_NODE_828_length_15095_cov_9.580237	15095	s
6_AE1712_C8_N19_24_200m_v_NODE_831_length_15054_cov_9.782400	15054	s
6_AE1712_C8_N19_24_200m_v_NODE_833_length_15009_cov_11.338200	15009	s
6_AE1712_C8_N19_24_200m_v_NODE_837_length_14988_cov_10.752196	14988	s
6_AE1712_C8_N19_24_200m_v_NODE_842_length_14941_cov_13.298910	14941	s
6_AE1712_C8_N19_24_200m_v_NODE_878_length_14423_cov_17.468354	14423	s
6_AE1712_C8_N19_24_200m_v_NODE_883_length_14378_cov_7.048248	14378	s
6_AE1712_C8_N19_24_200m_v_NODE_888_length_14306_cov_9.950594	14306	s
6_AE1712_C8_N19_24_200m_v_NODE_905_length_14118_cov_26.136671	14118	s
6_AE1712_C8_N19_24_200m_v_NODE_921_length_13969_cov_60.556723	13969	s
6_AE1712_C8_N19_24_200m_v_NODE_922_length_13962_cov_11.931077	13962	s
6_AE1712_C8_N19_24_200m_v_NODE_927_length_13897_cov_9.994645	13897	s
6_AE1712_C8_N19_24_200m_v_NODE_932_length_13854_cov_14.227408	13854	s
6_AE1712_C8_N19_24_200m_v_NODE_933_length_13839_cov_28.564453	13839	s
6_AE1712_C8_N19_24_200m_v_NODE_959_length_13604_cov_11.364530	13604	s
6_AE1712_C8_N19_24_200m_v_NODE_977_length_13495_cov_6.035251	13495	s
6_AE1712_C8_N19_24_200m_v_NODE_980_length_13483_cov_7.403924	13483	s
6_AE1712_C8_N19_24_200m_v_NODE_984_length_13440_cov_13.287510	13440	s
6_AE1712_C8_N19_24_200m_v_NODE_999_length_13321_cov_9.644669	13321	s
6_AE1712_C8_N19_24_200m_v_NODE_1021_length_13164_cov_12.740582	13164	s
6_AE1712_C8_N19_24_200m_v_NODE_1024_length_13138_cov_12.612051	13138	s
6_AE1712_C8_N19_24_200m_v_NODE_1035_length_13018_cov_6.900085	13018	s
6_AE1712_C8_N19_24_200m_v_NODE_1056_length_12807_cov_28.023488	12807	s
6_AE1712_C8_N19_24_200m_v_NODE_1067_length_12717_cov_5.543908	12717	s
6_AE1712_C8_N19_24_200m_v_NODE_1083_length_12595_cov_92.021170	12595	s
6_AE1712_C8_N19_24_200m_v_NODE_1103_length_12464_cov_12.299588	12464	s
6_AE1712_C8_N19_24_200m_v_NODE_1104_length_12464_cov_6.734480	12464	s
6_AE1712_C8_N19_24_200m_v_NODE_1105_length_12461_cov_8.044170	12461	s
6_AE1712_C8_N19_24_200m_v_NODE_1122_length_12387_cov_17.037774	12387	s
6_AE1712_C8_N19_24_200m_v_NODE_1130_length_12315_cov_12.393447	12315	s
6_AE1712_C8_N19_24_200m_v_NODE_1132_length_12288_cov_6.256081	12288	s
6_AE1712_C8_N19_24_200m_v_NODE_1133_length_12285_cov_10.938974	12285	s
6_AE1712_C8_N19_24_200m_v_NODE_1159_length_12130_cov_5.718161	12130	s
6_AE1712_C8_N19_24_200m_v_NODE_1163_length_12094_cov_22.463593	12094	s
6_AE1712_C8_N19_24_200m_v_NODE_1170_length_12030_cov_9.766837	12030	s
6_AE1712_C8_N19_24_200m_v_NODE_1171_length_12024_cov_14.626852	12024	s
6_AE1712_C8_N19_24_200m_v_NODE_1178_length_11976_cov_31.866207	11976	s
6_AE1712_C8_N19_24_200m_v_NODE_1185_length_11921_cov_6.640578	11921	s
6_AE1712_C8_N19_24_200m_v_NODE_1194_length_11882_cov_14.837018	11882	s
6_AE1712_C8_N19_24_200m_v_NODE_1204_length_11826_cov_16.700145	11826	s
6_AE1712_C8_N19_24_200m_v_NODE_1207_length_11803_cov_7.963756	11803	s
6_AE1712_C8_N19_24_200m_v_NODE_1209_length_11802_cov_7.788913	11802	s
6_AE1712_C8_N19_24_200m_v_NODE_1211_length_11791_cov_10.816203	11791	s
6_AE1712_C8_N19_24_200m_v_NODE_1214_length_11752_cov_6.054133	11752	s
6_AE1712_C8_N19_24_200m_v_NODE_1238_length_11529_cov_20.784841	11529	s
6_AE1712_C8_N19_24_200m_v_NODE_1241_length_11495_cov_14.491943	11495	s
6_AE1712_C8_N19_24_200m_v_NODE_1243_length_11475_cov_6.605369	11475	s
6_AE1712_C8_N19_24_200m_v_NODE_1253_length_11427_cov_6.415683	11427	s
6_AE1712_C8_N19_24_200m_v_NODE_1265_length_11363_cov_21.449141	11363	s
6_AE1712_C8_N19_24_200m_v_NODE_1274_length_11325_cov_5.814100	11325	s
6_AE1712_C8_N19_24_200m_v_NODE_1277_length_11300_cov_27.261338	11300	s
6_AE1712_C8_N19_24_200m_v_NODE_1282_length_11258_cov_13.795188	11258	s
6_AE1712_C8_N19_24_200m_v_NODE_1286_length_11249_cov_6.855711	11249	s
6_AE1712_C8_N19_24_200m_v_NODE_1296_length_11185_cov_12.087865	11185	s
6_AE1712_C8_N19_24_200m_v_NODE_1319_length_11022_cov_7.414801	11022	s
6_AE1712_C8_N19_24_200m_v_NODE_1333_length_10936_cov_12.445161	10936	s
6_AE1712_C8_N19_24_200m_v_NODE_1339_length_10884_cov_12.439900	10884	s
6_AE1712_C8_N19_24_200m_v_NODE_1344_length_10810_cov_6.437902	10810	s
6_AE1712_C8_N19_24_200m_v_NODE_1353_length_10775_cov_10.739110	10775	s
6_AE1712_C8_N19_24_200m_v_NODE_1356_length_10732_cov_6.672079	10732	s
6_AE1712_C8_N19_24_200m_v_NODE_1357_length_10729_cov_6.432876	10729	s
6_AE1712_C8_N19_24_200m_v_NODE_1368_length_10648_cov_5.539211	10648	s
6_AE1712_C8_N19_24_200m_v_NODE_1370_length_10646_cov_17.481976	10646	s
6_AE1712_C8_N19_24_200m_v_NODE_1381_length_10613_cov_26.369875	10613	s
6_AE1712_C8_N19_24_200m_v_NODE_1382_length_10611_cov_7.452725	10611	s
6_AE1712_C8_N19_24_200m_v_NODE_1398_length_10512_cov_7.412266	10512	s
6_AE1712_C8_N19_24_200m_v_NODE_1400_length_10507_cov_12.009875	10507	s
6_AE1712_C8_N19_24_200m_v_NODE_1409_length_10453_cov_6.017926	10453	s
6_AE1712_C8_N19_24_200m_v_NODE_1412_length_10445_cov_8.220197	10445	s
6_AE1712_C8_N19_24_200m_v_NODE_1414_length_10437_cov_5.383880	10437	s
6_AE1712_C8_N19_24_200m_v_NODE_1424_length_10358_cov_7.509581	10358	s
6_AE1712_C8_N19_24_200m_v_NODE_1439_length_10319_cov_7.557704	10319	s
6_AE1712_C8_N19_24_200m_v_NODE_1443_length_10306_cov_35.160817	10306	s
6_AE1712_C8_N19_24_200m_v_NODE_1451_length_10283_cov_6.452087	10283	s
6_AE1712_C8_N19_24_200m_v_NODE_1464_length_10243_cov_14.269132	10243	s
6_AE1712_C8_N19_24_200m_v_NODE_1469_length_10226_cov_10.997832	10226	s
6_AE1712_C8_N19_24_200m_v_NODE_1482_length_10203_cov_17.974422	10203	s
6_AE1712_C8_N19_24_200m_v_NODE_1486_length_10194_cov_6.246516	10194	s
6_AE1712_C8_N19_24_200m_v_NODE_1497_length_10147_cov_11.084608	10147	s
6_AE1712_C8_N19_24_200m_v_NODE_1499_length_10139_cov_10.235242	10139	s
6_AE1712_C8_N19_24_200m_v_NODE_1507_length_10110_cov_11.742051	10110	s
6_AE1712_C8_N19_24_200m_v_NODE_1509_length_10095_cov_6.933420	10095	s
6_AE1712_C8_N19_24_200m_v_NODE_1515_length_10083_cov_6.663302	10083	s
6_AE1712_C8_N19_24_200m_v_NODE_1524_length_10004_cov_7.650750	10004	s
8_AE1712_C11_N8_14_200m_v_NODE_3_length_411044_cov_18.072519	411044	s
8_AE1712_C11_N8_14_200m_v_NODE_9_length_260175_cov_16.937404	260175	s
8_AE1712_C11_N8_14_200m_v_NODE_102_length_75567_cov_12.801378	75567	s
8_AE1712_C11_N8_14_200m_v_NODE_138_length_60678_cov_21.185046	60678	s
8_AE1712_C11_N8_14_200m_v_NODE_149_length_57678_cov_22.422336	57678	s
8_AE1712_C11_N8_14_200m_v_NODE_247_length_33944_cov_10.513479	33944	s
8_AE1712_C11_N8_14_200m_v_NODE_252_length_33507_cov_34.150314	33507	s
8_AE1712_C11_N8_14_200m_v_NODE_293_length_29237_cov_44.061763	29237	s
8_AE1712_C11_N8_14_200m_v_NODE_315_length_27804_cov_12.217586	27804	s
8_AE1712_C11_N8_14_200m_v_NODE_396_length_21357_cov_26.124671	21357	s
8_AE1712_C11_N8_14_200m_v_NODE_410_length_20672_cov_26.379607	20672	s
8_AE1712_C11_N8_14_200m_v_NODE_414_length_20442_cov_14.997397	20442	s
8_AE1712_C11_N8_14_200m_v_NODE_423_length_20151_cov_10.420145	20151	s
8_AE1712_C11_N8_14_200m_v_NODE_439_length_19433_cov_6.029862	19433	s
8_AE1712_C11_N8_14_200m_v_NODE_450_length_19240_cov_25.151960	19240	s
8_AE1712_C11_N8_14_200m_v_NODE_452_length_19160_cov_7.094010	19160	s
8_AE1712_C11_N8_14_200m_v_NODE_498_length_17089_cov_28.356748	17089	s
8_AE1712_C11_N8_14_200m_v_NODE_533_length_15814_cov_6.777276	15814	s
8_AE1712_C11_N8_14_200m_v_NODE_570_length_14796_cov_16.955296	14796	s
8_AE1712_C11_N8_14_200m_v_NODE_610_length_13667_cov_6.950405	13667	s
8_AE1712_C11_N8_14_200m_v_NODE_638_length_13050_cov_12.130579	13050	s
8_AE1712_C11_N8_14_200m_v_NODE_644_length_12921_cov_8.799362	12921	s
8_AE1712_C11_N8_14_200m_v_NODE_647_length_12853_cov_6.494130	12853	s
8_AE1712_C11_N8_14_200m_v_NODE_650_length_12789_cov_6.135856	12789	s
8_AE1712_C11_N8_14_200m_v_NODE_677_length_12258_cov_12.782694	12258	s
8_AE1712_C11_N8_14_200m_v_NODE_678_length_12252_cov_10.884764	12252	s
8_AE1712_C11_N8_14_200m_v_NODE_708_length_11714_cov_10.466014	11714	s
8_AE1712_C11_N8_14_200m_v_NODE_734_length_11301_cov_19.495991	11301	s
8_AE1712_C11_N8_14_200m_v_NODE_737_length_11252_cov_8.519911	11252	s
8_AE1712_C11_N8_14_200m_v_NODE_752_length_11062_cov_13.423487	11062	s
8_AE1712_C11_N8_14_200m_v_NODE_767_length_10899_cov_13.296433	10899	s
8_AE1712_C11_N8_14_200m_v_NODE_773_length_10816_cov_13.573796	10816	s
8_AE1712_C11_N8_14_200m_v_NODE_808_length_10237_cov_18.066043	10237	s
9_AE1712_C14_N3_8_80m_v_NODE_6_length_18604_cov_22.232310	18604	s
VIRSorter_utg000003l_segment0_LN:i:62365_RC:i:3705_XC:f:1_000000	62365	l
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	137001	l
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	3333025	l
VIRSorter_utg000009l_segment0_LN:i:201339_RC:i:24383_XC:f:0_990074	201339	l
VIRSorter_utg000012c_segment0_LN:i:58120_RC:i:15097_XC:f:0_974359	58120	l
VIRSorter_utg000015l_segment0_LN:i:26219_RC:i:14221_XC:f:1_000000	26219	l
VIRSorter_utg000016l_segment0_LN:i:22114_RC:i:5820_XC:f:0_977778	22114	l
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	104588	l
VIRSorter_utg000019l_segment0_LN:i:14637_RC:i:1018_XC:f:1_000000	14637	l
VIRSorter_utg000020l_segment0_LN:i:163209_RC:i:21964_XC:f:0_993884	163209	l
VIRSorter_utg000024l_segment0_LN:i:91025_RC:i:11815_XC:f:0_994536	91025	l
VIRSorter_utg000025l_segment0_LN:i:57515_RC:i:71522_XC:f:0_991379	57515	l
VIRSorter_utg000026l_segment0_LN:i:45836_RC:i:2800_XC:f:0_967391	45836	l
VIRSorter_utg000027l_segment0_LN:i:10612_RC:i:475_XC:f:0_909091	10612	l
VIRSorter_utg000028l_segment0_LN:i:54036_RC:i:8264_XC:f:0_990826	54036	l
VIRSorter_utg000036l_segment0_LN:i:41487_RC:i:5755_XC:f:1_000000	41487	l
VIRSorter_utg000041l_segment0_LN:i:24720_RC:i:7307_XC:f:1_000000	24720	l
VIRSorter_utg000042l_segment0_LN:i:16665_RC:i:4782_XC:f:1_000000	16665	l
VIRSorter_utg000043l_segment0_LN:i:11254_RC:i:4622_XC:f:1_000000	11254	l
VIRSorter_utg000044l_segment0_LN:i:10992_RC:i:2021_XC:f:1_000000	10992	l
VIRSorter_utg000045l_segment0_LN:i:13527_RC:i:1744_XC:f:0_964286	13527	l
VIRSorter_utg000052l_segment0_LN:i:36580_RC:i:53988_XC:f:1_000000	36580	l
VIRSorter_utg000055l_segment0_LN:i:14767_RC:i:708_XC:f:0_966667	14767	l
VIRSorter_utg000059l_segment0_LN:i:27673_RC:i:1921_XC:f:0_982143	27673	l
VIRSorter_utg000060l_segment0_LN:i:22055_RC:i:2108_XC:f:0_977778	22055	l
VIRSorter_utg000061l_segment0_LN:i:11319_RC:i:2200_XC:f:1_000000	11319	l
VIRSorter_utg000063l_segment0_LN:i:11985_RC:i:964_XC:f:1_000000	11985	l
VIRSorter_utg000064l_segment0_LN:i:58502_RC:i:1811_XC:f:1_000000	58502	l
VIRSorter_utg000068l_segment0_LN:i:31218_RC:i:3747_XC:f:1_000000	31218	l
VIRSorter_utg000073l_segment0_LN:i:11419_RC:i:7051_XC:f:1_000000	11419	l
VIRSorter_utg000075l_segment0_LN:i:16769_RC:i:3614_XC:f:1_000000	16769	l
VIRSorter_utg000078l_segment0_LN:i:22546_RC:i:2528_XC:f:1_000000	22546	l
VIRSorter_utg000080l_segment0_LN:i:50237_RC:i:9922_XC:f:1_000000	50237	l
VIRSorter_utg000081l_segment0_LN:i:10297_RC:i:1484_XC:f:1_000000	10297	l
VIRSorter_utg000082l_segment0_LN:i:17284_RC:i:10673_XC:f:1_000000	17284	l
VIRSorter_utg000084l_segment0_LN:i:1368798_RC:i:27352_XC:f:0_989774	1368798	l
VIRSorter_utg000085l_segment0_LN:i:23981_RC:i:756_XC:f:0_854167	23981	l
VIRSorter_utg000087l_segment0_LN:i:333144_RC:i:14291_XC:f:0_994003	333144	l
VIRSorter_utg000088l_segment0_LN:i:20329_RC:i:6192_XC:f:0_975610	20329	l
VIRSorter_utg000095l_segment0_LN:i:57752_RC:i:5941_XC:f:0_991379	57752	l
VIRSorter_utg000096l_segment0_LN:i:13648_RC:i:1149_XC:f:1_000000	13648	l
VIRSorter_utg000098l_segment0_LN:i:13430_RC:i:2475_XC:f:1_000000	13430	l
VIRSorter_utg000102l_segment0_LN:i:19427_RC:i:2891_XC:f:1_000000	19427	l
VIRSorter_utg000107l_segment0_LN:i:12545_RC:i:6222_XC:f:1_000000	12545	l
VIRSorter_utg000112l_segment0_LN:i:102934_RC:i:8547_XC:f:1_000000	102934	l
VIRSorter_utg000113l_segment0_LN:i:63360_RC:i:5677_XC:f:1_000000	63360	l
VIRSorter_utg000114l_segment0_LN:i:23986_RC:i:1664_XC:f:1_000000	23986	l
VIRSorter_utg000116l_segment0_LN:i:54706_RC:i:14628_XC:f:0_972727	54706	l
VIRSorter_utg000122l_segment0_LN:i:19512_RC:i:5195_XC:f:1_000000	19512	l
VIRSorter_utg000123c_segment0_LN:i:51568_RC:i:4321_XC:f:1_000000	51568	l
VIRSorter_utg000124l_segment0_LN:i:30446_RC:i:32558_XC:f:0_951613	30446	l
VIRSorter_utg000127l_segment0_LN:i:24337_RC:i:7233_XC:f:0_938776	24337	l
VIRSorter_utg000129l_segment0_LN:i:28662_RC:i:5548_XC:f:0_982759	28662	l
